CrossTime,SceneTime,PicDuration,Target_ITI,Actual_ITI,ITI_Error,Block,Trial,Stimulus
1728999267.835021,1728999269.458480,0.600000,2.260765,0.000000,-2.260765,0,0,highneg_01.jpg
1728999270.078166,1728999270.883051,0.600000,1.439827,1.424571,-0.015256,0,1,highneg_02.jpg
1728999271.499251,1728999273.494246,0.600000,2.611647,2.611195,-0.000452,0,2,highneg_03.jpg
1728999274.115165,1728999274.683453,0.600000,1.189875,1.189207,-0.000668,0,3,highneg_04.jpg
1728999275.298490,1728999277.654896,0.600000,2.984284,2.971443,-0.012841,0,4,highneg_05.jpg
1728999278.268795,1728999279.302583,0.600000,1.654533,1.647687,-0.006846,0,5,highneg_06.jpg
1728999279.917347,1728999281.694461,0.600000,2.395808,2.391878,-0.003929,0,6,highneg_07.jpg
1728999282.318388,1728999284.241149,0.600000,2.551103,2.546688,-0.004415,0,7,highneg_08.jpg
