# Experiment Info:
# POSIX_Start: 1738668221.931160
# System_Time: 20250204_122341
# Display_Hz: 60.0
# ITI_Range: 1.005006 - 3.004990
# Images_N: 51
# Log_Path: \\megstoreemo2.uni-muenster.de\EmoData\trajdos\EmoScenesApp\logs\EmoScenes_20250204_122341.txt
#
# Format for break lines:
# BREAK,<POSIX_time>,<reason>,<details>
#
Timestamp,BlockTrial,StimFile,StimON,StimOFF,Stim_Duration,Target_ITI,Actual_ITI,ITI_Error
1738668352.374763,t050,highpos_28.jpg,1738668351.770993,1738668352.374763,0.603770,1.422771,1.429219,0.006448
1738668354.373313,t051,highpos_04.jpg,1738668353.774283,1738668354.373313,0.599030,1.394369,1.399520,0.005151
1738668356.187821,t052,highpos_02.jpg,1738668355.592393,1738668356.187821,0.595428,1.208540,1.219080,0.010540
1738668359.124320,t053,highpos_08.jpg,1738668358.526658,1738668359.124320,0.597662,2.318370,2.338837,0.020467
1738668362.045520,t054,neutral_09.jpg,1738668361.447697,1738668362.045520,0.597823,2.308819,2.323377,0.014558
1738668365.047801,t055,neutral_04.jpg,1738668364.449756,1738668365.047801,0.598045,2.390754,2.404236,0.013482
1738668368.546950,t056,highpos_27.jpg,1738668367.950104,1738668368.546950,0.596846,2.883171,2.902302,0.019131
1738668371.948460,t057,highpos_07.jpg,1738668371.349881,1738668371.948460,0.598579,2.786692,2.802931,0.016239
1738668373.962996,t058,highpos_26.jpg,1738668373.363671,1738668373.962996,0.599324,1.406809,1.415211,0.008402
1738668375.961877,t059,neutral_23.jpg,1738668375.367256,1738668375.961877,0.594621,1.390846,1.404261,0.013414
1738668379.011323,t060,neutral_17.jpg,1738668378.405493,1738668379.011323,0.605830,2.423284,2.443616,0.020332
1738668382.335832,t061,neutral_21.jpg,1738668381.736992,1738668382.335832,0.598840,2.713853,2.725669,0.011816
1738668384.065950,t062,neutral_19.jpg,1738668383.469322,1738668384.065950,0.596627,1.120566,1.133490,0.012924
1738668387.525889,t063,neutral_16.jpg,1738668386.927594,1738668387.525889,0.598296,2.848441,2.861644,0.013203
1738668389.219544,t064,highpos_09.jpg,1738668388.614990,1738668389.219544,0.604554,1.070471,1.089101,0.018630
1738668391.740112,t065,neutral_14.jpg,1738668391.145431,1738668391.740112,0.594681,1.919345,1.925887,0.006541
1738668394.026633,t066,neutral_18.jpg,1738668393.431924,1738668394.026633,0.594709,1.671873,1.691811,0.019939
1738668396.055623,t067,neutral_03.jpg,1738668395.453718,1738668396.055623,0.601905,1.413424,1.427085,0.013660
1738668399.646015,t068,highpos_15.jpg,1738668399.045402,1738668399.646015,0.600613,2.979246,2.989779,0.010533
1738668403.247887,t069,highpos_01.jpg,1738668402.640709,1738668403.247887,0.607177,2.984880,2.994694,0.009814
1738668405.409326,t070,highpos_29.jpg,1738668404.811519,1738668405.409326,0.597807,1.558368,1.563632,0.005264
1738668408.834867,t071,neutral_06.jpg,1738668408.228835,1738668408.834867,0.606033,2.799687,2.819509,0.019822
1738668410.682359,t072,highpos_06.jpg,1738668410.083504,1738668410.682359,0.598854,1.241890,1.248637,0.006747
1738668412.543975,t073,highpos_05.jpg,1738668411.939194,1738668412.543975,0.604781,1.246768,1.256836,0.010068
1738668415.165727,t074,neutral_24.jpg,1738668414.567477,1738668415.165727,0.598250,2.011873,2.023502,0.011628
1738668418.167649,t075,neutral_12.jpg,1738668417.567847,1738668418.167649,0.599802,2.390976,2.402120,0.011144
1738668421.224378,t076,highpos_14.jpg,1738668420.628658,1738668421.224378,0.595721,2.449696,2.461008,0.011312
1738668424.544914,t077,highpos_10.jpg,1738668423.945072,1738668424.544914,0.599842,2.698675,2.720694,0.022019
1738668426.518763,t078,neutral_20.jpg,1738668425.923468,1738668426.518763,0.595294,1.358893,1.378554,0.019661
1738668429.581537,t079,neutral_02.jpg,1738668428.977892,1738668429.581537,0.603644,2.439226,2.459129,0.019903
1738668431.517189,t080,neutral_22.jpg,1738668430.912127,1738668431.517189,0.605061,1.323691,1.330591,0.006900
1738668434.676738,t081,neutral_08.jpg,1738668434.074709,1738668434.676738,0.602029,2.546600,2.557520,0.010920
1738668437.486253,t082,highpos_16.jpg,1738668436.889433,1738668437.486253,0.596820,2.179291,2.212695,0.033404
1738668440.643166,t083,highpos_13.jpg,1738668440.036538,1738668440.643166,0.606628,2.530963,2.550285,0.019321
1738668443.879627,t084,highpos_19.jpg,1738668443.284776,1738668443.879627,0.594850,2.619847,2.641611,0.021764
1738668447.424211,t085,neutral_15.jpg,1738668446.821086,1738668447.424211,0.603125,2.919859,2.941460,0.021601
1738668449.454246,t086,neutral_25.jpg,1738668448.854373,1738668449.454246,0.599873,1.410512,1.430162,0.019649
1738668452.723329,t087,highpos_03.jpg,1738668452.112490,1738668452.723329,0.610838,2.639723,2.658245,0.018521
1738668455.437825,t088,highpos_25.jpg,1738668454.819854,1738668455.437825,0.617971,2.077800,2.096525,0.018726
1738668458.725729,t089,neutral_13.jpg,1738668458.118714,1738668458.725729,0.607015,2.683738,2.680889,-0.002849
1738668462.267516,t090,highpos_12.jpg,1738668461.665842,1738668462.267516,0.601674,2.934152,2.940114,0.005962
1738668465.797664,t091,highpos_11.jpg,1738668465.191229,1738668465.797664,0.606435,2.914026,2.923713,0.009687
1738668468.611442,t092,neutral_05.jpg,1738668468.012235,1738668468.611442,0.599207,2.198665,2.214571,0.015906
1738668470.918766,t093,neutral_07.jpg,1738668470.319734,1738668470.918766,0.599032,1.683157,1.708292,0.025135
1738668474.365968,t094,neutral_01.jpg,1738668473.765941,1738668474.365968,0.600028,2.829997,2.847175,0.017179
1738668476.626095,t095,highpos_24.jpg,1738668476.017435,1738668476.626095,0.608660,1.617365,1.651467,0.034101
1738668479.571347,t096,highpos_17.jpg,1738668478.965351,1738668479.571347,0.605996,2.314985,2.339256,0.024271
1738668481.960814,t097,neutral_10.jpg,1738668481.355518,1738668481.960814,0.605297,1.770268,1.784170,0.013903
1738668484.508482,t098,highpos_22.jpg,1738668483.899846,1738668484.508482,0.608635,1.929225,1.939032,0.009807
1738668487.690786,t099,neutral_11.jpg,1738668487.079144,1738668487.690786,0.611642,2.559179,2.570662,0.011483
1738668490.089858,t100,highpos_28.jpg,1738668489.484422,1738668490.089858,0.605436,1.779816,1.793636,0.013820
1738668493.429631,t101,highpos_04.jpg,1738668492.820230,1738668493.429631,0.609401,2.712643,2.730372,0.017729
1738668496.687145,t102,highpos_02.jpg,1738668496.070432,1738668496.687145,0.616713,2.616535,2.640801,0.024267
