CrossTime,SceneTime,PicDuration,Target_ITI,Actual_ITI,ITI_Error,Block,Trial,Stimulus
1730815036.035126,1730815037.622913,0.600000,2.182426,2.185402,0.002976,0,54,neutral_24.jpg
1730815038.216394,1730815040.309362,0.600000,2.696438,2.686449,-0.009989,0,55,lowpos_25.jpg
1730815040.906009,1730815041.808006,0.600000,1.490377,1.498644,0.008267,0,56,lowneg_25.jpg
1730815042.397654,1730815042.960808,0.600000,1.161810,1.152802,-0.009008,0,57,lowpos_21.jpg
1730815043.552476,1730815045.051436,0.600000,2.090837,2.090628,-0.000209,0,58,highpos_12.jpg
1730815045.645292,1730815046.433784,0.600000,1.389350,1.382348,-0.007002,0,59,lowneg_02.jpg
1730815047.030913,1730815048.324089,0.600000,1.888078,1.890305,0.002227,0,60,neutral_02.jpg
1730815048.920203,1730815050.345203,0.600000,2.022045,2.021114,-0.000931,0,61,lowpos_03.jpg
1730815050.935445,1730815053.304693,0.600000,2.964919,2.959490,-0.005429,0,62,highneg_07.jpg
1730815053.900158,1730815055.427034,0.600000,2.023844,2.122341,0.098497,0,63,neutral_23.jpg
1730815055.916471,1730815056.576726,0.600000,1.255163,1.149692,-0.105471,0,64,lowpos_30.jpg
1730815057.170240,1730815058.198156,0.600000,1.616026,1.621430,0.005404,0,65,lowneg_13.jpg
1730815058.767710,1730815060.127208,0.600000,1.954621,1.929052,-0.025569,0,66,highneg_11.jpg
1730815060.733600,1730815062.469764,0.600000,2.352595,2.342556,-0.010039,0,67,lowneg_01.jpg
1730815063.066115,1730815065.125195,0.600000,2.660141,2.655431,-0.004710,0,68,lowneg_22.jpg
1730815065.720309,1730815066.780582,0.600000,1.654154,1.655387,0.001233,0,69,lowpos_05.jpg
1730815067.373524,1730815069.267929,0.600000,2.480540,2.487347,0.006807,0,70,highpos_03.jpg
1730815069.851000,1730815070.490561,0.600000,1.236078,1.222632,-0.013446,0,71,highpos_28.jpg
1730815071.083925,1730815072.840053,0.600000,2.351520,2.349492,-0.002028,0,72,lowneg_18.jpg
1730815073.435366,1730815075.567981,0.600000,2.730647,2.727928,-0.002720,0,73,highpos_29.jpg
1730815076.161910,1730815077.064173,0.600000,1.502988,1.496192,-0.006796,0,74,lowneg_17.jpg
1730815077.760268,1730815078.509125,0.600000,1.442650,1.444952,0.002302,0,75,neutral_13.jpg
1730815079.129447,1730815079.988542,0.600000,1.454746,1.479417,0.024671,0,76,highpos_19.jpg
1730815080.581571,1730815082.260356,0.600000,2.282394,2.271814,-0.010580,0,77,lowneg_14.jpg
1730815082.857047,1730815084.975197,0.600000,2.717430,2.714841,-0.002589,0,78,highpos_09.jpg
1730815085.569321,1730815087.693465,0.600000,2.722718,2.718268,-0.004450,0,79,lowneg_23.jpg
1730815088.280442,1730815090.161654,0.600000,2.487930,2.468189,-0.019741,0,80,lowneg_12.jpg
1730815090.754188,1730815091.698091,0.600000,1.545219,1.536437,-0.008782,0,81,highpos_24.jpg
1730815092.291163,1730815093.895276,0.600000,2.203090,2.197185,-0.005905,0,82,lowpos_07.jpg
1730815094.486320,1730815096.316505,0.600000,2.417664,2.421229,0.003565,0,83,highpos_22.jpg
1730815096.899215,1730815099.218779,0.600000,2.915647,2.902274,-0.013373,0,84,lowpos_24.jpg
1730815099.812364,1730815101.199142,0.600000,1.985113,1.980363,-0.004750,0,85,highneg_24.jpg
1730815101.791518,1730815102.337162,0.600000,1.141556,1.138020,-0.003536,0,86,neutral_04.jpg
1730815102.928668,1730815104.589828,0.600000,2.263978,2.252666,-0.011312,0,87,neutral_09.jpg
1730815105.183898,1730815107.337809,0.600000,2.757506,2.747981,-0.009525,0,88,highneg_06.jpg
1730815107.929047,1730815108.537470,0.600000,1.205686,1.199661,-0.006025,0,89,lowneg_09.jpg
1730815109.129648,1730815110.667710,0.600000,2.143338,2.130240,-0.013098,0,90,lowneg_15.jpg
1730815111.265949,1730815113.395499,0.600000,2.723159,2.727789,0.004630,0,91,lowneg_20.jpg
1730815113.990858,1730815116.136507,0.600000,2.739064,2.741008,0.001944,0,92,highpos_01.jpg
1730815116.727151,1730815119.042124,0.600000,2.910575,2.905617,-0.004958,0,93,lowpos_32.jpg
1730815119.639353,1730815120.132788,0.600000,1.090604,1.090664,0.000060,0,94,highneg_04.jpg
1730815120.724983,1730815121.655491,0.600000,1.528800,1.522703,-0.006096,0,95,lowneg_07.jpg
1730815122.251122,1730815123.986488,0.600000,2.325253,2.330997,0.005744,0,96,highpos_04.jpg
1730815124.568085,1730815126.740551,0.600000,2.775154,2.754063,-0.021091,0,97,lowneg_05.jpg
1730815127.336515,1730815127.843776,0.600000,1.102292,1.103225,0.000933,0,98,highpos_14.jpg
1730815128.437641,1730815129.084074,0.600000,1.252051,1.240298,-0.011753,0,99,lowpos_17.jpg
1730815129.678391,1730815131.392598,0.600000,2.316769,2.308524,-0.008245,0,100,lowpos_31.jpg
1730815131.988097,1730815133.479699,0.600000,2.086373,2.087101,0.000728,0,101,highneg_19.jpg
1730815134.076026,1730815135.087519,0.600000,1.607906,1.607820,-0.000086,0,102,lowpos_20.jpg
1730815135.679646,1730815136.098411,0.600000,1.014857,1.010892,-0.003965,0,103,highneg_12.jpg
1730815136.692666,1730815138.516727,0.600000,2.420546,2.418316,-0.002230,0,104,neutral_05.jpg
1730815139.112658,1730815140.506600,0.600000,2.000718,1.989873,-0.010845,0,105,neutral_20.jpg
1730815141.098726,1730815142.395127,0.600000,1.900095,1.888527,-0.011568,0,106,lowpos_04.jpg
1730815142.989628,1730815144.218201,0.600000,1.810315,1.823074,0.012759,0,107,highpos_02.jpg
1730815144.803999,1730815146.803285,0.600000,2.503100,2.585084,0.081983,0,108,lowneg_11.jpg
1730815147.295487,1730815148.273741,0.600000,1.565605,1.470456,-0.095149,0,109,highpos_25.jpg
1730815148.854808,1730815149.855113,0.600000,1.602106,1.581372,-0.020734,0,110,highneg_18.jpg
1730815150.451067,1730815151.993775,0.600000,2.144268,2.138662,-0.005606,0,111,lowpos_18.jpg
1730815152.585767,1730815154.878540,0.600000,2.892537,2.884765,-0.007772,0,112,lowneg_04.jpg
1730815155.476902,1730815157.507129,0.600000,2.624114,2.628589,0.004475,0,113,highneg_21.jpg
1730815158.098873,1730815160.217962,0.600000,2.722307,2.710833,-0.011474,0,114,lowpos_16.jpg
1730815160.813829,1730815163.192078,0.600000,2.981335,2.974116,-0.007219,0,115,highpos_11.jpg
1730815163.785443,1730815165.221395,0.600000,2.020587,2.029317,0.008730,0,116,highpos_10.jpg
1730815165.805835,1730815167.053721,0.600000,1.834109,1.832326,-0.001783,0,117,neutral_15.jpg
1730815167.635339,1730815168.145771,0.600000,1.107181,1.092050,-0.015131,0,118,highpos_05.jpg
1730815168.741543,1730815170.517038,0.600000,2.380789,2.371267,-0.009522,0,119,highneg_03.jpg
1730815171.112422,1730815171.592791,0.600000,1.080873,1.075753,-0.005120,0,120,lowpos_28.jpg
