CrossTime,SceneTime,PicDuration,Target_ITI,Actual_ITI,ITI_Error,Block,Trial,Stimulus
1729000883.010963,1729000884.733524,0.600000,2.359317,0.000000,-2.359317,0,0,highpos_16.jpg
1729000885.344632,1729000886.236941,0.600000,1.506738,1.503417,-0.003321,0,1,highneg_22.jpg
1729000886.851726,1729000887.303022,0.600000,1.078206,1.066081,-0.012125,0,2,neutral_16.jpg
1729000887.917002,1729000889.717048,0.600000,2.420704,2.414026,-0.006678,0,3,lowpos_02.jpg
1729000890.334015,1729000892.325753,0.600000,2.610155,2.608705,-0.001450,0,4,highpos_12.jpg
1729000892.937036,1729000894.447334,0.600000,2.128404,2.121581,-0.006823,0,5,highneg_23.jpg
1729000895.053523,1729000896.384587,0.600000,1.947570,1.937253,-0.010317,0,6,highneg_10.jpg
1729000897.009106,1729000898.555829,0.600000,2.168001,2.171242,0.003241,0,7,lowneg_11.jpg
