Date		Time		Sub_Nr	Block	Trial	ITI	Pic_Duration	Stimulus
2024-09-23	17:20:44.756	1	0	1	1.258	0.6		neutral_12.jpg
2024-09-23	17:20:45.867	1	0	2	1.933	0.6		lowpos_32.jpg
2024-09-23	17:20:46.977	1	0	3	1.024	0.6		lowneg_16.jpg
2024-09-23	17:20:48.086	1	0	4	1.430	0.6		highneg_05.jpg
2024-09-23	17:20:49.202	1	0	5	1.910	0.6		highneg_07.jpg
2024-09-23	17:20:50.314	1	0	6	1.946	0.6		lowpos_25.jpg
2024-09-23	17:20:51.425	1	0	7	1.574	0.6		highneg_01.jpg
2024-09-23	17:20:52.535	1	0	8	1.033	0.6		lowpos_29.jpg
2024-09-23	17:20:53.649	1	0	9	1.975	0.6		lowpos_09.jpg
2024-09-23	17:20:54.766	1	0	10	1.137	0.6		neutral_08.jpg
2024-09-23	17:20:55.884	1	0	11	1.000	0.6		highpos_13.jpg
2024-09-23	17:20:57.002	1	0	12	1.243	0.6		lowpos_18.jpg
2024-09-23	17:20:58.116	1	0	13	1.396	0.6		highneg_25.jpg
2024-09-23	17:20:59.230	1	0	14	1.387	0.6		lowpos_21.jpg
2024-09-23	17:21:00.344	1	0	15	1.498	0.6		lowpos_02.jpg
2024-09-23	17:21:01.453	1	0	16	1.108	0.6		neutral_19.jpg
2024-09-23	17:21:02.571	1	0	17	1.862	0.6		highpos_07.jpg
2024-09-23	17:21:03.682	1	0	18	1.230	0.6		neutral_11.jpg
2024-09-23	17:21:04.794	1	0	19	1.355	0.6		neutral_23.jpg
2024-09-23	17:21:05.908	1	0	20	1.254	0.6		highneg_22.jpg
2024-09-23	17:21:07.021	1	0	21	1.066	0.6		lowneg_06.jpg
2024-09-23	17:21:08.134	1	0	22	1.791	0.6		lowneg_14.jpg
2024-09-23	17:21:09.244	1	0	23	1.740	0.6		lowpos_31.jpg
2024-09-23	17:21:10.356	1	0	24	1.278	0.6		neutral_21.jpg
2024-09-23	17:21:11.465	1	0	25	1.104	0.6		neutral_01.jpg
2024-09-23	17:21:12.576	1	0	26	1.311	0.6		lowpos_16.jpg
2024-09-23	17:21:13.686	1	0	27	1.588	0.6		highneg_20.jpg
2024-09-23	17:21:14.795	1	0	28	1.747	0.6		highneg_04.jpg
