CrossTime		SceneTime		Sub_Nr	Block	Trial	ITI	Pic_Duration	Stimulus
1728484854.61757	1728484855.12146	1	0	1	1.40788	0.6		neutral_07.jpg
1728484855.72213	1728484856.23256	1	0	2	1.49934	0.6		highneg_04.jpg
1728484856.84346	1728484857.35495	1	0	3	1.05512	0.6		neutral_12.jpg
1728484857.95656	1728484858.47686	1	0	4	1.54586	0.6		highpos_02.jpg
1728484859.06327	1728484859.57054	1	0	5	1.77797	0.6		lowneg_08.jpg
1728484860.17954	1728484860.68775	1	0	6	1.76781	0.6		lowneg_18.jpg
1728484861.29488	1728484861.82337	1	0	7	1.16780	0.6		highneg_17.jpg
1728484862.40397	1728484862.90834	1	0	8	1.00833	0.6		lowpos_03.jpg
1728484863.51257	1728484864.03599	1	0	9	1.54468	0.6		lowneg_21.jpg
1728484864.62338	1728484865.14658	1	0	10	1.33544	0.6		neutral_04.jpg
1728484865.74349	1728484866.25854	1	0	11	1.72342	0.6		highpos_19.jpg
1728484866.85742	1728484867.38088	1	0	12	1.38731	0.6		highpos_27.jpg
1728484867.97400	1728484868.50429	1	0	13	1.99770	0.6		neutral_17.jpg
1728484869.08730	1728484869.61324	1	0	14	1.45663	0.6		neutral_21.jpg
1728484870.20221	1728484870.72159	1	0	15	1.54234	0.6		highneg_21.jpg
1728484871.32106	1728484871.84251	1	0	16	1.88888	0.6		highpos_09.jpg
1728484872.43513	1728484872.95179	1	0	17	1.75526	0.6		lowpos_08.jpg
